iter	Logloss
0	0.6726727986
1	0.6525684574
2	0.6337485972
3	0.6165027582
4	0.6005579228
5	0.5856085373
6	0.5718187956
7	0.5586285886
8	0.5471143381
9	0.5357125786
10	0.5250531628
11	0.5153358484
12	0.5062075202
13	0.4975875018
14	0.4897917274
15	0.4834298333
16	0.4765688438
17	0.47034586
18	0.4645447455
19	0.4592578597
20	0.4539715732
21	0.4492649692
22	0.4451467744
23	0.4408701706
24	0.4371003612
25	0.4334327532
26	0.4302861181
27	0.4274453128
28	0.4245278147
29	0.4216070551
30	0.4188876491
31	0.4166855907
32	0.4144291885
33	0.4123471511
34	0.4104751618
35	0.4084153098
36	0.4066528625
37	0.4048565042
38	0.4032917172
39	0.4018132241
40	0.4003090815
41	0.3988663753
42	0.3978313461
43	0.3967018614
44	0.3956447697
45	0.3945635554
46	0.3934756843
47	0.3924576378
48	0.3915376453
49	0.3907640506
50	0.3898390009
51	0.389104642
52	0.3882077182
53	0.387377985
54	0.3866758365
55	0.3860066649
56	0.3853934924
57	0.3848599293
58	0.384301204
59	0.3837993641
60	0.3833834138
61	0.3829473731
62	0.3824325324
63	0.3819234591
64	0.3814847163
65	0.3810169974
66	0.3805848923
67	0.3801129255
68	0.3797797161
69	0.3793525792
70	0.3789966327
71	0.3786913156
72	0.3783547661
73	0.3780152616
74	0.3777356186
75	0.3774512414
76	0.3772044306
77	0.3769655418
78	0.376719951
79	0.3764356797
80	0.3762127841
81	0.3760046278
82	0.3757658344
83	0.3755688772
84	0.3753445091
85	0.3751330996
86	0.3748529159
87	0.374667579
88	0.3744626717
89	0.3742324445
90	0.3740608418
91	0.3738830741
92	0.3737247997
93	0.373529803
94	0.3734104494
95	0.3732555324
96	0.3731585869
97	0.3730149705
98	0.3728640636
99	0.3727248969
100	0.3725801164
101	0.3724896901
102	0.3723538703
103	0.3722121472
104	0.372093475
105	0.3719455942
106	0.3718503499
107	0.3717354501
108	0.3716209841
109	0.3715277526
110	0.3713967119
111	0.3713045288
112	0.3712018663
113	0.3710972008
114	0.3709893043
115	0.3709102986
116	0.3707841018
117	0.3706531065
118	0.3705183967
119	0.3704503893
120	0.3703647943
121	0.3702608774
122	0.3701897499
123	0.3701260973
124	0.3700409054
125	0.369982423
126	0.3699026654
127	0.3698239236
128	0.369747877
129	0.3696948242
130	0.369590525
131	0.3695466739
132	0.369482385
133	0.3694191606
134	0.3693556169
135	0.3692831976
136	0.369203391
137	0.3691305943
138	0.3690774505
139	0.3689989698
140	0.36893766
141	0.3688790355
142	0.3688214126
143	0.3687631786
144	0.3686855652
145	0.3685909334
146	0.3685248435
147	0.3684568441
148	0.3684018697
149	0.3683662825
150	0.3682941363
151	0.3682341262
152	0.3681748571
153	0.3681304626
154	0.3680658447
155	0.3680173952
156	0.3679499172
157	0.3678801934
158	0.3678312712
159	0.3677459312
160	0.3676840422
161	0.3676297257
162	0.3675877297
163	0.367530677
164	0.3674466868
165	0.3673855649
166	0.3673289663
167	0.3672699908
168	0.3672168365
169	0.3671636236
170	0.3671320862
171	0.3670974999
172	0.3670353644
173	0.3669959415
174	0.3669415201
175	0.3669065058
176	0.3668475603
177	0.3668175004
178	0.3667724202
179	0.3667347154
180	0.3667018193
181	0.3666437952
182	0.3665941372
