iter	Passed	Remaining
0	44	44790
1	87	43713
2	125	41575
3	166	41410
4	200	39936
5	237	39324
6	270	38349
7	317	39326
8	354	38985
9	390	38618
10	427	38415
11	465	38357
12	502	38121
13	540	38035
14	578	37969
15	614	37770
16	669	38716
17	708	38669
18	746	38537
19	787	38584
20	823	38371
21	859	38229
22	895	38044
23	934	38010
24	1002	39090
25	1048	39267
26	1093	39393
27	1133	39340
28	1185	39677
29	1222	39526
30	1262	39455
31	1299	39298
32	1365	40010
33	1441	40954
34	1476	40720
35	1506	40344
36	1541	40128
37	1581	40029
38	1621	39959
39	1660	39841
40	1694	39639
41	1738	39651
42	1771	39420
43	1801	39131
44	1836	38979
45	1867	38732
46	1897	38482
47	1930	38287
48	1961	38064
49	1994	37888
50	2033	37835
51	2093	38159
52	2129	38045
53	2166	37955
54	2204	37880
55	2239	37745
56	2272	37590
57	2304	37431
58	2337	37282
59	2388	37415
60	2420	37260
61	2454	37135
62	2488	37015
63	2523	36905
64	2554	36744
65	2591	36670
66	2625	36555
67	2658	36438
68	2699	36421
69	2736	36358
70	2776	36323
71	2811	36237
72	2845	36139
73	2876	35995
74	2909	35879
75	2945	35807
76	2979	35710
77	3014	35638
78	3048	35537
79	3082	35448
80	3116	35356
81	3151	35277
82	3184	35185
83	3213	35046
84	3250	34986
85	3280	34864
86	3320	34843
87	3358	34803
88	3394	34742
89	3432	34704
90	3467	34635
91	3505	34602
92	3538	34513
93	3573	34443
94	3606	34358
95	3648	34353
96	3686	34317
97	3720	34240
98	3757	34197
99	3789	34101
100	3820	34004
101	3854	33937
102	3891	33890
103	3925	33823
104	3966	33810
105	4004	33770
106	4043	33749
107	4089	33772
108	4146	33894
109	4180	33827
110	4212	33739
111	4242	33634
112	4276	33565
113	4311	33509
114	4345	33440
115	4389	33453
116	4422	33379
117	4456	33309
118	4490	33244
119	4524	33180
120	4558	33118
121	4596	33078
122	4631	33026
123	4680	33067
124	4715	33007
125	4749	32942
126	4785	32893
127	4822	32855
128	4859	32813
129	4898	32782
130	4935	32737
131	4970	32687
132	5063	33006
133	5095	32933
134	5131	32876
135	5175	32880
136	5210	32820
137	5243	32754
138	5279	32701
139	5311	32625
140	5344	32562
141	5404	32655
142	5433	32565
143	5466	32493
144	5502	32443
145	5533	32368
146	5567	32303
147	5614	32318
148	5673	32404
149	5710	32358
150	5743	32294
151	5775	32219
152	5809	32160
153	5843	32100
154	5875	32030
155	5941	32142
156	5970	32060
157	6005	32003
158	6075	32136
159	6118	32122
160	6153	32065
161	6192	32032
162	6277	32235
163	6310	32168
164	6342	32098
165	6374	32026
166	6406	31955
167	6441	31900
168	6473	31830
169	6506	31768
170	6568	31845
171	6598	31765
